case_id,case_label,description,warmup_days,substeps_per_hour,use_view_factor_radiation,interior_convection_model,exterior_convection_model,use_interior_radiative_exchange,use_surface_aware_solar_distribution,use_beam_solar_distribution,distribute_transmitted_solar_to_fvm_walls,fvm_wall_solar_to_air,transmitted_solar_to_air_fraction,internal_gains_to_mass_fraction,interior_solar_absorptance,floor_internal_mass,annual_heating_kwh,annual_cooling_kwh,err_heating_kwh,err_heating_pct,err_cooling_kwh,err_cooling_pct,delta_heating_vs_suite_kwh,delta_cooling_vs_suite_kwh
legacy_fixed_floor_mass,Legacy fixed + floor mass,bestest_600_energy style before suite-style upgrades,7,6,false,fixed,fixed,true,true,false,false,false,0.000000,0.600000,0.600000,true,3353.810,5202.642,-970.950,-22.451,-841.428,-13.922,-503.126,71.129
suite_baseline,Suite baseline,bestest_energy_suite Case 600 modeling style,7,6,false,tarp,doe2,true,true,true,false,false,0.000000,0.600000,0.600000,false,3856.935,5131.513,-467.825,-10.817,-912.557,-15.098,0.000,0.000
suite_plus_floor_mass,Suite + explicit floor mass,add one-sided floor internal mass slab,7,6,false,tarp,doe2,true,true,true,false,false,0.000000,0.600000,0.600000,true,3465.586,5633.021,-859.174,-19.866,-411.049,-6.801,-391.350,501.508
suite_fixed_convection,Suite + fixed convection,replace TARP/DOE2 with fixed interior/exterior films,7,6,false,fixed,fixed,true,true,true,false,false,0.000000,0.600000,0.600000,false,3910.759,5179.989,-414.001,-9.573,-864.081,-14.296,53.824,48.476
suite_no_interior_radiation,Suite + no interior radiation,disable interior radiative split,7,6,false,tarp,doe2,false,true,true,false,false,0.000000,0.600000,0.600000,false,3856.935,5131.513,-467.825,-10.817,-912.557,-15.098,0.000,0.000
suite_view_factor_radiation,Suite + view-factor LW,enable per-surface MRT view-factor radiation,7,6,true,tarp,doe2,true,true,true,false,false,0.000000,0.600000,0.600000,false,4060.268,4776.331,-264.492,-6.116,-1267.739,-20.975,203.332,-355.182
suite_no_beam_split,Suite + no beam split,disable beam-vs-diffuse interior solar handling,7,6,false,tarp,doe2,true,true,false,false,false,0.000000,0.600000,0.600000,false,3899.026,4959.386,-425.734,-9.844,-1084.684,-17.946,42.091,-172.127
suite_no_surface_aware,Suite + no surface-aware solar,route transmitted solar by non-surface-aware path,7,6,false,tarp,doe2,true,false,true,false,false,0.000000,0.600000,0.600000,false,4082.598,6445.755,-242.162,-5.599,401.685,6.646,225.662,1314.242
suite_transmit_to_air_30,Suite + 30% transmitted solar to air,shift part of transmitted solar directly to air node,7,6,false,tarp,doe2,true,true,true,false,false,0.300000,0.600000,0.600000,false,3634.010,7690.681,-690.750,-15.972,1646.611,27.243,-222.926,2559.168
suite_distribute_to_fvm_walls,Suite + distribute to FVM walls,include FVM wall area for transmitted/radiant source splitting,7,6,false,tarp,doe2,true,true,true,true,false,0.000000,0.600000,0.600000,false,3856.935,5131.513,-467.825,-10.817,-912.557,-15.098,0.000,0.000
suite_wall_share_to_air,Suite + wall share rerouted to air,when distributing to walls, redirect wall share into air gains,7,6,false,tarp,doe2,true,true,true,true,true,0.000000,0.600000,0.600000,false,3858.929,5888.131,-465.831,-10.771,-155.939,-2.580,1.994,756.617
suite_alpha_1p0,Suite + alpha = 1.0,100% first-hit interior solar absorptance (no bounce pool),7,6,false,tarp,doe2,true,true,true,false,false,0.000000,0.600000,1.000000,false,3844.414,5303.153,-480.346,-11.107,-740.917,-12.259,-12.521,171.640
suite_no_warmup_substeps1,Suite + no warmup + 1 substep,coarse solver controls: 0 warmup days and 1 substep per hour,0,1,false,tarp,doe2,true,true,true,false,false,0.000000,0.600000,0.600000,false,3773.374,5018.847,-551.386,-12.750,-1025.223,-16.962,-83.561,-112.666
