metric,freq_hz,simulated,measured
EDT,125,1.540871,1.501000
RT60,125,1.569805,1.453000
C80,125,-0.066843,0.551000
D50,125,33.907599,29.500000
EDT,250,1.469350,1.306000
RT60,250,1.546425,1.345000
C80,250,0.290824,0.902000
D50,250,35.605956,39.400000
EDT,500,2.124294,2.018000
RT60,500,2.163472,2.018000
C80,500,-1.900598,-1.862000
D50,500,25.993302,27.800000
EDT,1000,2.024814,1.919000
RT60,1000,2.053499,1.934000
C80,1000,-1.644053,-0.606000
D50,1000,27.034354,32.100000
EDT,2000,1.799617,1.758000
RT60,2000,1.812669,1.715000
C80,2000,-1.002354,-0.483000
D50,2000,29.721011,35.600000
EDT,4000,1.747193,1.649000
RT60,4000,1.762031,1.604000
C80,4000,-0.824669,0.164000
D50,4000,30.480065,36.600000
